source,target,rating,time
430,1,10,1376539200
3134,1,10,1369713600
3026,1,10,1350014400
3010,1,10,1347854400
804,1,10,1337572800
160,1,10,1394683200
95,1,9,1384578000
377,1,7,1414728000
888,1,7,1365652800
89,1,7,1351742400
1901,1,6,1411790400
161,1,6,1413345600
256,1,6,1342584000
1,160,10,1317182400
1,1028,7,1348804800
1368,2,10,1399348800
164,2,10,1407816000
244,2,10,1362459600
62,2,10,1349582400
2244,2,10,1348891200
148,2,10,1348200000
7403,2,10,1334980800
52,2,10,1332475200
264,2,10,1337140800
159,2,10,1330146000
66,2,10,1343361600
20,2,10,1333339200
60,2,10,1325480400
585,2,10,1325480400
97,2,10,1316404800
2006,2,10,1307073600
1421,2,10,1304827200
353,2,10,1304481600
42,2,10,1306987200
37,2,10,1343102400
51,2,9,1343102400
185,2,9,1335672000
38,2,9,1394424000
7603,2,9,1337832000
312,2,9,1307592000
168,2,9,1291179600
354,2,8,1347854400
108,2,8,1323493200
9,2,8,1330146000
22,2,8,1393218000
91,2,8,1306728000
40,2,8,1323666000
250,2,8,1301544000
271,2,8,1289538000
119,2,8,1289365200
10,2,8,1290488400
113,2,8,1353992400
54,2,8,1299474000
375,2,7,1415768400
177,2,7,1348286400
31,2,7,1332043200
47,2,7,1341374400
17,2,7,1322974800
23,2,7,1301284800
74,2,7,1308628800
4,2,7,1298264400
179,2,6,1402804800
165,2,6,1371614400
306,2,6,1343102400
2,37,10,1343102400
2,38,9,1394424000
2,168,9,1290920400
2,4,9,1298264400
2,20,8,1333339200
2,767,8,1308196800
2,23,8,1308196800
2,40,8,1308196800
2,91,8,1308196800
2,113,8,1308196800
2,54,8,1296622800
2,108,7,1323493200
2,469,7,1301284800
2,250,7,1308196800
2,271,7,1308196800
2,471,7,1308196800
2,185,6,1336190400
2,188,6,1333598400
2,31,6,1325653200
2,312,6,1298869200
2,74,6,1296622800
2,119,6,1306036800
971,3,10,1362114000
92,3,10,1359867600
7336,3,10,1353214800
5,3,8,1383627600
1545,3,8,1359262800
103,3,8,1370491200
207,3,7,1392699600
43,3,7,1370577600
6,3,7,1362373200
7380,3,6,1371614400
333,3,6,1371441600
287,3,6,1371355200
754,3,6,1364961600
3,5,8,1372996800
3,92,8,1355029200
3,6,8,1361941200
3,207,6,1392267600
3,123,6,1364875200
3,287,6,1371355200
3,103,6,1370491200
97,4,10,1325998800
215,4,10,1311393600
479,4,10,1313985600
302,4,10,1309924800
39,4,10,1308369600
381,4,10,1304222400
148,4,10,1304827200
7603,4,9,1337832000
40,4,9,1311652800
312,4,9,1307592000
31,4,8,1303704000
131,4,8,1305777600
859,4,7,1307419200
437,4,7,1306123200
23,4,7,1301284800
37,4,7,1306036800
136,4,6,1348113600
25,4,6,1343016000
9,4,6,1373342400
777,4,6,1306468800
1398,4,6,1306814400
4,302,6,1309320000
4,7552,6,1301889600
4,168,6,1337400000
603,5,10,1393736400
191,5,10,1388293200
11,5,10,1377144000
68,5,10,1380686400
67,5,10,1380427200
248,5,10,1378094400
372,5,10,1370923200
42,5,9,1382673600
13,5,8,1415336400
19,5,8,1376452800
53,5,8,1388638800
163,5,7,1407729600
433,5,7,1382241600
31,5,6,1407297600
43,5,6,1383627600
557,5,6,1371182400
49,5,6,1386651600
5,67,8,1380427200
5,19,8,1385442000
5,8,8,1370145600
5,46,7,1377489600
5,13,7,1377489600
5,248,7,1378094400
5,6,6,1382328000
5,31,6,1385010000
5,53,6,1387515600
3305,6,10,1382587200
524,6,10,1359608400
36,6,10,1408766400
112,6,9,1359694800
56,6,9,1390280400
31,6,8,1400731200
100,6,8,1373688000
227,6,8,1383192000
177,6,8,1361854800
809,6,7,1363665600
92,6,7,1361163600
32,6,7,1385787600
19,6,6,1407816000
1057,6,6,1358744400
1541,6,6,1389070800
394,6,6,1358312400
11,6,6,1389070800
6,138,10,1361163600
6,56,9,1369108800
6,31,8,1400731200
6,1069,7,1383105600
6,809,7,1362974400
6,112,7,1360731600
6,227,7,1383192000
6,19,6,1407729600
6,1057,6,1358658000
6,394,6,1357362000
6,36,6,1408593600
6,32,6,1382241600
174,7,10,1376193600
30,7,10,1367121600
36,7,10,1357966800
7517,7,10,1348545600
7536,7,10,1348545600
142,7,10,1354683600
1151,7,10,1364270400
429,7,9,1385269200
95,7,8,1398657600
266,7,8,1367294400
956,7,7,1341288000
638,7,7,1346731200
31,7,6,1407297600
203,7,6,1363665600
7,34,8,1397188800
7,36,8,1362805200
7,370,8,1370836800
7,30,7,1400126400
7,638,7,1352437200
7,429,6,1377144000
7,956,6,1356325200
7,1151,6,1362373200
7604,8,10,1364270400
36,8,10,1368763200
265,8,10,1340942400
500,8,9,1354510800
7390,8,8,1364011200
177,8,8,1359349200
7595,8,7,1362891600
396,8,6,1369540800
1518,8,6,1349150400
176,9,10,1339905600
107,9,10,1335585600
14,9,10,1332216000
11,9,10,1341374400
97,9,10,1327381200
159,9,9,1341374400
20,9,9,1330491600
7603,9,9,1337832000
40,9,8,1322802000
22,9,8,1348632000
145,9,7,1348545600
24,9,7,1354251600
67,9,7,1330491600
9,20,10,1354078800
9,159,9,1341547200
9,977,8,1365048000
9,145,8,1334203200
9,14,8,1332820800
9,176,8,1339905600
9,267,6,1336190400
9,22,6,1326344400
37,10,8,1307592000
177,10,7,1360299600
623,10,6,1340164800
130,10,6,1334894400
10,7552,10,1366689600
10,970,8,1289192400
10,271,8,1289192400
10,37,8,1307592000
10,623,6,1340164800
34,11,10,1392786000
7536,11,10,1348545600
21,11,10,1346644800
7562,11,8,1367812800
122,11,8,1341201600
30,11,7,1375675200
318,11,6,1352523600
211,11,6,1332216000
11,93,10,1380513600
11,34,10,1384318800
11,13,10,1351569600
11,31,10,1348718400
11,21,10,1368676800
11,47,10,1366948800
11,122,10,1370318400
11,24,6,1388466000
651,12,10,1403755200
815,12,10,1374811200
976,12,9,1382068800
19,12,7,1389157200
292,12,6,1416805200
229,12,6,1371441600
1368,13,10,1399435200
68,13,10,1357966800
3060,13,10,1353128400
7337,13,10,1352264400
651,13,9,1415250000
1050,13,8,1359522000
21,13,8,1353646800
1052,13,7,1355979600
13,127,8,1359522000
13,46,8,1359522000
13,21,8,1353646800
13,659,7,1387774800
796,14,10,1324875600
1024,14,10,1323925200
7603,14,10,1345176000
63,14,8,1340596800
159,14,8,1332216000
20,14,8,1332216000
22,14,8,1353560400
24,14,6,1372392000
14,63,9,1341547200
14,20,8,1332216000
14,518,8,1333425600
14,796,6,1326949200
104,15,10,1393995600
427,15,10,1360645200
2336,15,8,1399176000
7335,15,7,1451538000
352,15,7,1398139200
98,15,6,1365480000
64,15,6,1398139200
20,15,6,1333252800
15,352,10,1390626000
15,94,10,1397275200
2445,16,10,1301803200
109,16,8,1305086400
37,16,8,1304222400
1174,16,7,1366171200
7596,16,6,1307332800
75,16,6,1308196800
149,16,6,1307505600
63,16,6,1305172800
16,109,8,1305086400
16,37,7,1303963200
16,199,6,1365480000
16,311,6,1312171200
16,149,6,1307505600
16,63,6,1305172800
159,17,9,1341547200
7603,17,7,1337832000
26,17,6,1357966800
17,159,6,1341633600
17,20,6,1330837200
243,18,10,1359608400
57,18,9,1321506000
872,18,9,1360558800
1170,18,8,1354770000
594,18,8,1364616000
860,18,8,1309752000
74,18,7,1362974400
1306,18,7,1343188800
7603,18,7,1337832000
7565,18,6,1320033600
18,243,10,1358917200
18,74,10,1353819600
18,294,10,1324530000
18,57,9,1309406400
18,160,9,1324530000
18,91,8,1368331200
18,860,8,1309752000
34,19,10,1394942400
292,19,8,1420261200
49,19,8,1376971200
207,19,7,1386565200
30,19,6,1401422400
93,19,6,1376625600
19,34,10,1394942400
19,49,8,1376107200
19,335,7,1388034000
19,207,6,1386565200
19,30,6,1409544000
19,93,6,1376884800
19,36,6,1373342400
7517,20,10,1348545600
159,20,10,1337486400
870,20,10,1312344000
7603,20,9,1337832000
22,20,9,1317268800
37,20,8,1345608000
47,20,8,1344571200
1042,20,7,1346385600
20,22,9,1317268800
20,31,8,1383714000
20,37,8,1345608000
20,47,8,1344571200
20,188,8,1333857600
20,65,8,1334030400
20,1042,7,1345003200
20,159,7,1328418000
20,231,6,1311566400
25,21,10,1347508800
181,21,10,1305691200
205,21,6,1380686400
266,21,6,1355979600
85,21,6,1380686400
21,25,10,1347508800
21,41,10,1347508800
21,85,6,1380686400
47,22,8,1367380800
159,22,7,1328418000
24,22,6,1412913600
22,47,8,1348632000
22,23,8,1312862400
22,159,7,1328418000
22,302,6,1357102800
22,99,6,1347249600
22,70,6,1357102800
22,24,6,1368590400
22,39,6,1321419600
1082,23,8,1302840000
440,23,6,1303790400
437,23,6,1302148800
656,23,6,1301889600
23,129,10,1302235200
23,469,7,1303358400
23,656,6,1301889600
34,24,6,1390194000
26,24,6,1371096000
24,1691,10,1363752000
24,63,6,1382500800
24,32,6,1391403600
265,25,10,1343016000
284,25,8,1337918400
177,25,7,1355115600
25,265,8,1343016000
25,284,8,1337918400
177,26,9,1358917200
32,26,8,1399262400
93,26,6,1384491600
47,26,6,1339819200
26,279,10,1374292800
26,88,10,1385787600
26,29,9,1384059600
26,93,8,1383278400
26,47,6,1378353600
56,27,10,1367208000
754,27,10,1364875200
7595,27,6,1367985600
267,27,6,1347940800
27,56,10,1367208000
27,754,8,1363752000
27,267,6,1350792000
314,28,10,1308974400
1458,28,10,1308024000
254,28,10,1307764800
327,28,10,1307764800
89,28,10,1307764800
1249,28,10,1307678400
195,28,10,1307505600
726,28,10,1307246400
130,28,10,1307505600
28,314,10,1308974400
28,195,10,1307505600
244,30,10,1364270400
124,30,6,1357794000
30,188,10,1357534800
30,95,10,1357534800
30,345,10,1357534800
30,308,8,1372824000
92,31,10,1386478800
429,31,9,1386306000
401,31,6,1306814400
31,188,7,1374206400
43,32,10,1343707200
124,32,9,1355720400
177,32,7,1357880400
32,43,10,1343707200
253,33,10,1312516800
2414,34,10,1399089600
59,34,10,1388725200
34,59,7,1374552000
104,35,10,1395979200
2807,35,10,1324443600
118,36,10,1374897600
2379,36,8,1375156800
36,118,10,1372910400
314,37,9,1309320000
152,37,7,1335585600
37,1019,7,1308801600
37,7552,7,1309320000
37,312,6,1304222400
37,297,6,1306468800
37,54,6,1304308800
80,38,10,1344830400
285,38,10,1337313600
38,285,10,1337313600
38,80,8,1344916800
680,39,10,1312862400
2111,39,10,1312516800
2070,39,10,1307937600
274,39,8,1314676800
326,39,6,1384664400
39,108,10,1332561600
39,680,10,1312862400
39,326,6,1384664400
271,40,8,1323320400
7562,41,10,1367812800
266,41,7,1347940800
394,41,7,1344657600
601,42,7,1391749200
42,270,10,1308196800
42,932,8,1307592000
42,601,7,1391749200
42,66,7,1329109200
177,43,7,1363579200
142,43,6,1350792000
43,142,6,1350792000
608,44,10,1307764800
45,44,10,1304827200
613,44,7,1306728000
44,74,10,1330578000
132,45,10,1307764800
183,45,10,1306900800
2541,45,10,1306468800
45,132,10,1307764800
45,183,10,1306900800
435,46,10,1383541200
61,46,10,1368849600
68,46,10,1354078800
3015,46,9,1348027200
3035,46,8,1358744400
46,127,10,1356843600
46,68,10,1356066000
7603,47,9,1337832000
159,47,8,1343188800
47,66,8,1343188800
47,159,8,1343188800
131,48,7,1313553600
231,48,7,1310875200
48,7372,10,1309838400
48,131,7,1313553600
48,231,7,1310875200
120,49,10,1386478800
93,49,7,1379304000
250,49,6,1380686400
49,120,8,1415854800
49,93,6,1379304000
1241,50,10,1306209600
100,50,6,1306555200
383,50,6,1306641600
50,100,6,1306555200
50,383,6,1306641600
7603,51,7,1337832000
67,51,6,1330146000
798,52,9,1334376000
257,52,8,1334289600
177,52,6,1345262400
52,257,8,1334289600
52,177,7,1346904000
7602,53,10,1364443200
7601,53,10,1364443200
7599,53,10,1364443200
7598,53,10,1364443200
7604,53,10,1364443200
124,53,7,1354683600
7595,53,6,1362286800
188,54,8,1356325200
234,54,8,1306728000
84,54,8,1304308800
91,54,8,1301284800
271,54,7,1289538000
54,188,8,1347076800
54,469,8,1347076800
54,234,8,1347076800
54,200,8,1347076800
54,7552,8,1301889600
54,91,8,1347076800
2995,55,10,1346126400
143,55,8,1355893200
185,55,8,1331096400
283,55,8,1314072000
673,55,7,1362027600
875,55,6,1331611200
55,283,10,1313985600
55,185,8,1331096400
753,56,9,1369368000
3107,56,8,1357707600
147,56,8,1364875200
56,753,8,1369368000
630,57,8,1322197200
57,294,10,1324530000
57,160,9,1317960000
57,630,8,1321506000
430,59,10,1386824400
7420,59,10,1375329600
7380,59,7,1373601600
163,59,6,1404705600
336,59,6,1373947200
59,163,6,1404705600
59,336,6,1373947200
269,60,10,1392094800
267,60,9,1336190400
440,60,8,1336536000
7603,60,7,1337832000
68,61,10,1373428800
3093,61,10,1356152400
2268,61,10,1355202000
3035,61,8,1358744400
61,68,10,1373428800
7517,62,10,1348545600
7536,62,10,1348545600
102,62,8,1343534400
124,62,6,1355029200
62,102,6,1349496000
62,124,6,1355029200
899,63,8,1392872400
336,63,7,1383541200
63,899,8,1419829200
100,66,10,1358139600
67,746,10,1353387600
814,68,10,1356238800
1807,68,10,1350446400
7336,68,10,1349841600
124,68,7,1358139600
68,814,10,1354770000
2171,69,10,1328331600
296,71,10,1359867600
243,71,10,1359608400
745,71,10,1348718400
968,71,8,1357275600
220,71,8,1344916800
349,71,8,1343361600
71,243,8,1359090000
71,968,8,1357275600
71,349,8,1344916800
71,745,7,1339992000
262,72,10,1370664000
72,262,8,1370664000
124,73,9,1355029200
120,73,7,1403582400
73,120,7,1403582400
7604,74,10,1364184000
74,1017,6,1308628800
2685,76,10,1308715200
2696,76,10,1309406400
2626,76,10,1307851200
2046,76,10,1307592000
2037,76,10,1307505600
76,240,10,1307332800
623,78,6,1342497600
78,623,6,1342497600
244,80,10,1364184000
1047,80,8,1348545600
301,80,8,1348804800
598,80,6,1369713600
491,80,6,1363060800
80,301,8,1349755200
971,81,10,1365048000
7503,82,9,1402545600
158,82,8,1401076800
288,82,6,1414990800
82,158,8,1402891200
450,84,10,1308283200
84,450,10,1308283200
84,263,10,1307505600
205,85,6,1380686400
85,205,6,1380686400
104,86,10,1401768000
86,94,10,1429848000
461,88,10,1365566400
646,88,7,1364356800
88,461,10,1365566400
88,646,7,1364356800
254,89,10,1307764800
373,89,7,1355029200
89,373,7,1355029200
194,91,8,1327381200
234,91,8,1306728000
91,194,8,1326776400
91,200,8,1306728000
91,234,8,1306728000
91,469,8,1306728000
93,764,10,1389848400
7335,94,10,1451365200
233,94,10,1430539200
114,94,10,1429934400
104,94,10,1411790400
95,188,9,1366516800
95,394,7,1349841600
525,96,10,1365220800
125,96,6,1414728000
96,125,6,1414728000
475,97,10,1309579200
97,177,10,1359694800
97,475,10,1309579200
97,273,10,1307592000
7604,99,10,1364270400
176,99,7,1331010000
827,100,10,1375243200
100,827,10,1375243200
7604,101,10,1364270400
101,781,6,1306987200
101,567,6,1305345600
1247,102,10,1306900800
1990,102,10,1306728000
1005,102,7,1306728000
102,103,7,1389848400
102,1005,7,1306728000
103,177,8,1362027600
6958,104,10,1392354000
104,498,8,1412308800
348,107,6,1341460800
107,513,10,1341028800
107,348,6,1341460800
1292,108,7,1324875600
108,1292,7,1323925200
449,109,7,1307592000
109,449,7,1307592000
390,110,8,1364184000
110,390,7,1361077200
110,305,6,1373601600
3269,111,10,1375675200
463,111,10,1375675200
207,111,6,1392354000
111,207,6,1391922000
427,112,10,1360213200
524,112,10,1356757200
112,427,10,1367208000
112,524,10,1355893200
271,113,7,1289538000
152,113,6,1335585600
113,134,9,1363752000
113,358,8,1363752000
113,188,8,1353992400
113,355,6,1311912000
118,765,10,1402286400
662,119,8,1304913600
235,119,8,1303531200
271,119,8,1289538000
119,471,9,1289365200
119,662,8,1304827200
119,235,8,1303531200
119,271,8,1289365200
120,310,7,1386478800
633,121,7,1332388800
7595,123,10,1367294400
123,7595,7,1367294400
177,124,9,1353128400
124,177,10,1353214800
124,228,9,1353560400
124,162,7,1354856400
124,520,7,1351656000
421,126,6,1356498000
158,128,10,1378612800
895,128,6,1378612800
128,895,6,1378612800
128,158,6,1378612800
129,159,6,1305259200
129,1097,6,1304740800
129,1092,6,1304740800
129,717,6,1304308800
129,440,6,1304308800
129,502,6,1303790400
129,167,6,1305345600
129,989,6,1304481600
131,791,10,1310875200
231,132,10,1310788800
132,231,9,1311134400
1850,134,10,1366776000
551,135,7,1340337600
528,136,7,1409284800
136,528,7,1409284800
870,137,10,1313380800
2526,137,10,1305777600
1069,138,7,1383192000
2509,139,10,1305604800
2510,139,10,1305518400
7481,141,10,1410753600
2905,143,10,1335067200
688,143,8,1330664400
1193,144,6,1370750400
144,372,6,1386133200
144,1193,6,1370750400
191,145,10,1372132800
227,145,10,1371614400
941,145,10,1362546000
318,145,10,1362027600
7335,145,9,1449810000
7560,145,6,1404187200
7604,147,10,1364270400
421,147,10,1355202000
690,147,8,1355547600
147,421,10,1355115600
147,690,8,1355547600
147,223,8,1355202000
147,963,8,1355115600
1072,149,8,1402200000
581,150,10,1309320000
150,581,10,1308283200
213,151,10,1380945600
808,151,10,1346385600
261,151,10,1343793600
218,151,8,1342411200
151,213,10,1380945600
151,261,10,1376366400
151,808,10,1376366400
151,218,10,1376366400
931,153,7,1307678400
156,7603,10,1352001600
7604,157,10,1364270400
216,157,7,1336881600
157,216,7,1336881600
158,248,10,1372564800
7603,159,9,1337832000
159,272,10,1337486400
160,294,10,1325048400
163,165,10,1392094800
164,837,10,1427342400
164,835,10,1413777600
165,188,6,1378180800
7604,166,10,1364270400
166,177,8,1363147200
323,168,6,1307678400
286,170,10,1405051200
633,170,8,1348113600
3248,171,8,1370232000
172,555,8,1364356800
3337,173,10,1387688400
245,173,7,1393131600
173,245,7,1391144400
7603,176,7,1337832000
1299,176,6,1344052800
748,177,10,1353042000
642,177,10,1352091600
750,177,10,1357189200
265,177,10,1339128000
331,177,7,1357016400
1165,177,7,1348891200
1806,177,6,1350273600
177,816,10,1357534800
177,244,7,1364529600
177,802,7,1351137600
177,296,7,1350532800
177,214,7,1349668800
177,265,7,1340596800
3017,179,10,1348372800
400,180,8,1412654400
374,180,8,1402891200
404,181,10,1305086400
181,510,10,1308196800
7562,185,10,1390539600
1691,185,10,1358571600
288,185,10,1358571600
364,186,8,1409284800
374,186,8,1402372800
400,186,7,1412654400
7604,187,10,1364270400
7335,188,10,1451278800
334,188,10,1365652800
573,188,8,1311566400
188,200,8,1356325200
188,573,8,1312084800
1424,189,7,1339732800
306,189,6,1341806400
189,306,6,1341806400
7604,190,10,1364270400
190,903,9,1410753600
190,889,9,1365134400
722,193,10,1306468800
193,722,10,1306468800
736,194,8,1331870400
194,736,8,1331870400
254,195,10,1308024000
195,254,10,1308024000
390,198,6,1351224000
198,390,6,1351224000
7335,200,10,1451278800
234,200,8,1306728000
506,201,10,1305777600
201,506,10,1304222400
428,204,10,1342497600
798,204,10,1335240000
204,428,10,1342497600
204,798,10,1335240000
823,206,10,1368331200
206,823,10,1368331200
666,208,6,1377489600
253,210,10,1312257600
1712,212,10,1312171200
261,213,10,1343793600
218,213,10,1342324800
213,261,10,1343793600
213,218,10,1342324800
322,215,10,1303012800
215,322,10,1302926400
756,216,6,1361941200
218,261,10,1389589200
249,220,9,1387774800
556,221,10,1365048000
276,221,10,1365048000
887,221,7,1372651200
221,276,10,1365048000
221,556,10,1365048000
221,887,7,1373342400
354,224,10,1346904000
224,354,8,1307505600
228,816,10,1357534800
247,229,10,1373947200
400,230,8,1412654400
274,232,8,1330146000
232,274,8,1320642000
234,469,8,1306728000
2532,236,7,1306036800
714,238,10,1304568000
238,714,10,1304568000
1103,239,10,1305432000
239,1103,10,1305432000
7564,240,10,1307419200
240,7564,10,1307592000
699,243,8,1365048000
418,246,10,1394596800
307,246,10,1368504000
246,653,10,1432440000
246,418,10,1394596800
246,307,10,1367380800
1067,247,10,1367899200
247,1067,6,1367899200
543,253,10,1311739200
253,543,10,1311739200
1458,254,10,1308024000
7388,257,10,1325998800
301,264,8,1346644800
264,805,10,1337140800
264,301,8,1346644800
490,265,7,1355979600
304,267,8,1337832000
1916,268,7,1345348800
556,276,10,1365048000
887,276,6,1372651200
279,1206,6,1414814400
279,1203,6,1408507200
282,724,10,1307678400
806,285,10,1337400000
285,806,10,1337400000
753,286,10,1368763200
1915,297,10,1303617600
344,300,10,1307419200
7564,300,7,1307419200
334,302,10,1369454400
387,303,10,1308801600
303,387,10,1308801600
303,678,6,1307851200
418,307,10,1394596800
307,418,10,1395115200
323,313,9,1307505600
313,323,9,1307505600
1303,316,10,1327986000
693,316,6,1341288000
1153,317,8,1345348800
388,325,10,1308542400
828,325,10,1378094400
325,388,10,1308542400
325,828,10,1378094400
325,414,10,1378094400
344,327,10,1307592000
7523,338,10,1407988800
7522,338,10,1407988800
7532,338,10,1407902400
7510,338,10,1407902400
1680,342,10,1307505600
855,343,9,1306468800
1251,343,8,1307592000
343,855,9,1306468800
788,344,10,1307937600
344,788,10,1307937600
344,480,10,1307937600
345,463,10,1373774400
7564,354,10,1307592000
354,440,6,1347854400
356,624,10,1307678400
356,405,10,1307678400
782,357,10,1306987200
357,782,10,1306987200
377,363,10,1402200000
399,363,10,1402113600
363,377,10,1402200000
363,399,10,1402113600
374,364,8,1409284800
364,374,8,1409284800
368,367,10,1305864000
367,368,10,1305864000
949,369,6,1331870400
374,400,8,1413172800
374,378,8,1404100800
399,377,10,1402200000
377,399,10,1402200000
679,384,10,1307678400
384,679,10,1307764800
828,388,10,1378094400
6014,407,10,1363147200
409,797,10,1324443600
633,410,6,1342584000
828,414,10,1378094400
545,415,10,1384837200
829,415,8,1384750800
415,829,10,1384750800
898,416,7,1391144400
416,898,7,1391144400
417,901,9,1395201600
468,425,10,1305691200
7570,425,8,1307160000
425,468,10,1305691200
515,426,10,1310097600
426,515,10,1307937600
831,430,10,1386824400
430,831,10,1386824400
861,431,6,1365048000
431,861,9,1365652800
2421,434,8,1415595600
501,436,9,1314072000
446,445,10,1304913600
445,446,10,1304913600
950,453,10,1328850000
453,950,8,1328850000
3035,456,8,1358744400
525,458,10,1365825600
7419,461,8,1365652800
985,464,8,1411272000
464,985,8,1411272000
652,465,8,1410580800
465,652,8,1410580800
1227,470,8,1304568000
867,477,8,1308542400
477,867,8,1308542400
628,481,10,1308974400
1565,488,8,1366862400
525,493,10,1361077200
7558,496,10,1384837200
1178,497,7,1409112000
1907,499,10,1450414800
501,794,10,1317528000
502,7552,7,1306814400
2037,511,10,1307505600
1291,516,10,1323406800
819,525,10,1365307200
525,644,10,1365825600
525,819,10,1365307200
6792,527,10,1384405200
1584,527,7,1384491600
7400,532,10,1307073600
776,533,10,1305172800
533,776,10,1305172800
726,538,10,1307246400
852,539,10,1305604800
600,554,10,1365480000
554,600,10,1365480000
584,569,10,1311480000
569,584,10,1311480000
579,576,9,1307073600
576,579,10,1307073600
614,577,10,1308024000
577,614,10,1308024000
727,578,6,1307332800
578,727,6,1307332800
1691,582,10,1331956800
628,583,10,1308974400
6878,590,10,1386219600
590,6878,10,1386219600
880,595,9,1349668800
595,880,9,1349668800
834,604,10,1409284800
604,834,10,1409284800
7569,606,10,1304308800
723,618,10,1342670400
618,723,10,1342670400
789,628,10,1309665600
628,789,10,1308974400
2908,631,10,1336536000
2913,636,10,1335931200
3170,648,10,1365825600
749,656,10,1349409600
656,749,9,1349409600
663,820,10,1365480000
948,685,8,1326171600
685,948,8,1326171600
1026,688,10,1335153600
1367,691,10,1365739200
2225,692,10,1369800000
692,2225,10,1369972800
833,709,10,1399262400
709,833,10,1399262400
1638,719,8,1305691200
790,726,10,1310529600
726,790,10,1310443200
726,7564,10,1307246400
7328,731,10,1309579200
731,7328,10,1309579200
755,754,10,1356843600
754,755,10,1356584400
1183,756,6,1362718800
756,1183,6,1362718800
978,760,10,1370664000
760,978,8,1370664000
781,928,8,1307073600
2529,795,10,1320033600
5533,811,10,1348545600
811,5533,10,1348545600
3179,836,10,1413950400
7335,838,10,1451278800
1256,873,9,1323752400
3419,905,10,1418187600
2336,907,9,1449637200
1126,930,6,1308196800
930,1126,6,1308196800
7562,941,8,1346904000
1039,7603,6,1341201600
1062,7514,10,1367294400
1074,1075,6,1440648000
1221,7552,7,1345348800
1444,7564,7,1307419200
1455,7564,8,1307592000
1681,7564,9,1307592000
7598,1691,10,1374206400
7398,2408,10,1398657600
7561,3774,8,1307678400
7455,4910,10,1322024400
7517,5533,10,1348545600
7536,5533,10,1348545600
7565,5533,10,1348545600
5533,7565,10,1348545600
7602,7334,10,1364270400
7601,7334,10,1364270400
7599,7334,10,1364270400
7598,7334,10,1364270400
7604,7334,10,1364184000
7334,7604,10,1364097600
7335,7560,10,1451278800
7520,7395,10,1308024000
7571,7395,6,1308024000
7520,7396,6,1308024000
7513,7417,9,1347940800
7417,7506,9,1347940800
7535,7483,10,1347681600
7483,7513,7,1347681600
7513,7506,8,1347940800
7535,7513,8,1347681600
7536,7517,10,1348545600
7565,7517,9,1348545600
7517,7565,10,1348545600
7517,7536,10,1348545600
7531,7521,10,1393390800
7530,7581,10,1358226000
7565,7536,10,1348545600
7536,7565,10,1348545600
7540,7556,8,1353387600
7602,7598,10,1364270400
7601,7598,10,1364270400
7599,7598,10,1364270400
7604,7598,10,1364270400
7598,7599,10,1364270400
7598,7600,10,1364270400
7598,7604,10,1364270400
7602,7599,10,1364270400
7601,7599,10,1364270400
7604,7599,10,1364270400
7599,7600,10,1364270400
7602,7600,10,1364270400
7601,7600,10,1364270400
7604,7600,10,1364270400
7602,7601,10,1364270400
7604,7601,10,1364270400
7601,7604,10,1364270400
7604,7602,10,1364270400
7602,7604,10,1364270400
